type,km0,km1,len_km,detail
RUN STRAIGHT,23.71547092140019,24.564922805475348,0.85,
RUN CURVE,24.564922805475348,24.90946907648859,0.34,R avg +1.57 max 2.41 deg/100ft
MULTITRACK,24.564922805475348,28.710796742274287,4.145873936798939,12 tracks
YARD,24.6937636316534,25.11735889191685,0.4235952602634505,8 tracks
BRIDGE,24.90946907648859,24.97872259019098,0.06925351370238886,
RUN CURVE,24.97872259019098,25.362712867490643,0.38,R avg +1.35 max 4.18 deg/100ft
RUN STRAIGHT,25.362712867490643,25.870458190779082,0.51,
BRIDGE,25.362712867490643,25.457777521900756,0.09506465441011258,
RUN CURVE,25.870458190779082,26.101072171356645,0.23,L avg -0.82 max 1.03 deg/100ft
YARD,25.97269917745048,27.4579127452271,1.485213567776622,14 tracks
RUN STRAIGHT,26.101072171356645,27.150731281225237,1.05,
BRIDGE,26.87095640476086,26.94137953697295,0.07042313221208829,
BRIDGE,27.092922600256603,27.150731281225237,0.05780868096863401,
RUN CURVE,27.25553002413023,27.4579127452271,0.2,L avg -0.11 max 1.24 deg/100ft
STATION,27.620973794899257,27.620973794899257,0.0,Port Coquitlam
RUN STRAIGHT,27.93185318684009,28.174277950671446,0.24,
RUN CURVE,28.174277950671446,28.408593710264668,0.23,L avg -0.02 max 0.25 deg/100ft
RUN STRAIGHT,28.58688856260738,29.971944284532476,1.39,
MULTITRACK,29.971944284532476,35.996741917109055,6.024797632576579,11 tracks
YARD,30.19924244048049,31.642209767046253,1.442967326565764,13 tracks
RUN STRAIGHT,30.54081908768531,30.79633327373744,0.26,
RUN CURVE,30.79633327373744,31.078912470923452,0.28,R avg +0.68 max 1.58 deg/100ft
BRIDGE,30.79633327373744,31.373818447151823,0.5774851734143844,
RUN STRAIGHT,31.078912470923452,35.86591216252737,4.79,
RUN CURVE,35.996741917109055,36.198679902531524,0.2,L avg -0.15 max 0.48 deg/100ft
MULTITRACK,36.13119036982176,38.950085597879955,2.818895228058196,7 tracks
YARD,36.41307547425042,37.10034014076225,0.6872646665118296,9 tracks
RUN STRAIGHT,36.638441232916875,36.87411566466444,0.24,
RUN STRAIGHT,36.95468227502855,37.19142369280401,0.24,
RUN CURVE,37.19142369280401,37.71216274384356,0.52,R avg +1.59 max 3.66 deg/100ft
RUN STRAIGHT,37.71216274384356,37.989384704035615,0.28,
RUN CURVE,37.989384704035615,38.18877401934656,0.2,R avg +0.60 max 2.22 deg/100ft
RUN STRAIGHT,38.37526743215329,38.78737127785851,0.41,
RUN CURVE,38.78737127785851,38.950085597879955,0.16,L avg -4.36 max 6.35 deg/100ft
RUN STRAIGHT,38.950085597879955,39.519618923377685,0.57,
RUN CURVE,39.519618923377685,39.72131061813873,0.2,R avg +0.52 max 0.55 deg/100ft
RUN STRAIGHT,39.72131061813873,40.60167986418125,0.88,
MULTITRACK,40.19815655511008,43.15431140545091,2.9561548503408304,3 tracks
RUN CURVE,40.60167986418125,41.344722119211525,0.74,R avg +0.93 max 2.23 deg/100ft
RUN CURVE,41.47584500956848,41.682171046568556,0.21,R avg +1.29 max 2.11 deg/100ft
RUN CURVE,41.795322734644465,42.09434399890962,0.3,R avg +0.62 max 2.59 deg/100ft
RUN CURVE,42.237419673718954,42.614480429019096,0.38,R avg +1.05 max 1.77 deg/100ft
RUN STRAIGHT,42.614480429019096,42.81796989048878,0.2,
RUN STRAIGHT,42.88044160905155,43.06330135808585,0.18,
RUN CURVE,43.06330135808585,43.242582584499225,0.18,L avg -0.05 max 0.37 deg/100ft
RUN STRAIGHT,43.242582584499225,43.607662002139946,0.37,
RUN CURVE,43.607662002139946,43.84980009128082,0.24,L avg -1.03 max 1.03 deg/100ft
MULTITRACK,43.607662002139946,77.97268858677663,34.36502658463668,7 tracks
RUN STRAIGHT,43.99483025617313,44.16953887629191,0.17,
YARD,43.99483025617313,44.77783665811273,0.7830064019396019,10 tracks
BRIDGE,44.13459637565021,44.25095448289709,0.11635810724688156,
RUN STRAIGHT,44.484125741560725,44.64754920706078,0.16,
RUN STRAIGHT,44.935794176420664,45.20623365170747,0.27,
RUN CURVE,45.20623365170747,45.362377031567796,0.16,R avg +0.09 max 0.55 deg/100ft
RUN CURVE,45.485038134517026,45.65054277740161,0.17,L avg -1.03 max 2.10 deg/100ft
RUN CURVE,45.729041670255754,46.00909631993299,0.28,L avg -0.95 max 3.76 deg/100ft
RUN CURVE,46.471616067932295,46.70866778217976,0.24,L avg -0.01 max 2.25 deg/100ft
RUN STRAIGHT,47.80979096755691,47.96333972468077,0.15,
RUN CURVE,47.96333972468077,48.18430848346779,0.22,L avg -0.64 max 1.84 deg/100ft
RUN CURVE,48.59110596079011,48.751149945005224,0.16,L avg -0.18 max 0.60 deg/100ft
RUN CURVE,48.86661257817281,49.08151235941437,0.21,L avg -0.07 max 0.34 deg/100ft
RUN CURVE,49.19332048127825,49.540439102503896,0.35,L avg -1.53 max 2.34 deg/100ft
RUN STRAIGHT,49.540439102503896,49.751349819377886,0.21,
RUN CURVE,49.751349819377886,49.99225139126061,0.24,R avg +0.04 max 0.27 deg/100ft
RUN STRAIGHT,49.99225139126061,50.86320975601889,0.87,
RUN CURVE,50.86320975601889,51.29010323375902,0.43,R avg +1.52 max 3.79 deg/100ft
RUN CURVE,51.38765070952977,51.53914763142632,0.15,L avg -1.55 max 1.55 deg/100ft
RUN CURVE,51.565900322240765,52.051283679056894,0.49,L avg -1.61 max 3.61 deg/100ft
RUN STRAIGHT,52.051283679056894,52.251781275236546,0.2,
RUN CURVE,52.251781275236546,52.416515326304406,0.16,R avg +0.08 max 0.39 deg/100ft
RUN CURVE,52.41906537771815,52.727797114721646,0.31,L avg -0.45 max 0.51 deg/100ft
RUN STRAIGHT,52.727797114721646,54.059577212391716,1.33,
RUN CURVE,54.059577212391716,54.4508839474216,0.39,R avg +0.98 max 1.43 deg/100ft
RUN STRAIGHT,54.4508839474216,55.26974986323231,0.82,
RUN CURVE,55.26974986323231,55.44183839102407,0.17,R avg +1.19 max 1.57 deg/100ft
RUN STRAIGHT,55.44183839102407,56.07927618109633,0.64,
RUN STRAIGHT,56.16062229906956,56.37057889989528,0.21,
RUN CURVE,56.37057889989528,56.60570271467798,0.24,L avg -0.84 max 0.88 deg/100ft
RUN STRAIGHT,56.60570271467798,56.80477489103011,0.2,
YARD,56.93269048093827,57.41766935911997,0.4849788781816997,7 tracks
BRIDGE,57.04357609939098,57.22391096255808,0.18033486316709713,
RUN STRAIGHT,57.26972687458093,57.522822374017785,0.25,
RUN STRAIGHT,57.60106801364128,57.754229800737875,0.15,
RUN STRAIGHT,57.83364087105985,58.31609515769316,0.48,
RUN CURVE,58.31609515769316,58.69071400826468,0.37,R avg +0.36 max 0.36 deg/100ft
RUN STRAIGHT,58.69071400826468,58.9810841537381,0.29,
RUN STRAIGHT,59.053826671436376,59.307061536912514,0.25,
RUN CURVE,59.307061536912514,59.89725485370074,0.59,L avg -2.07 max 3.89 deg/100ft
RUN STRAIGHT,59.89725485370074,60.380947182158735,0.48,
RUN STRAIGHT,60.47576423130013,62.00989409536522,1.53,
RUN STRAIGHT,62.13064222975434,63.92594274241951,1.8,
RUN CURVE,63.92594274241951,64.08286605582593,0.16,R avg +1.56 max 1.56 deg/100ft
RUN STRAIGHT,64.08286605582593,64.38665963410384,0.3,
RUN CURVE,64.38665963410384,65.98801116916711,1.6,L avg -1.56 max 4.45 deg/100ft
RUN STRAIGHT,65.98801116916711,67.09422616623488,1.11,
YARD,67.09422616623488,67.72247902017587,0.6282528539409924,8 tracks
RUN STRAIGHT,67.37415785682943,67.61848781524957,0.24,
STATION,67.58392167586008,67.58392167586008,0.0,Mission
RUN STRAIGHT,67.72247902017587,68.16597913275672,0.44,
RUN CURVE,68.16597913275672,68.46032937228294,0.29,L avg -1.47 max 1.60 deg/100ft
RUN CURVE,68.52011985551826,68.85578391464851,0.34,L avg -1.56 max 2.79 deg/100ft
RUN STRAIGHT,68.85578391464851,69.3200524021912,0.46,
RUN CURVE,69.3200524021912,70.12782329409121,0.81,R avg +0.04 max 1.44 deg/100ft
RUN STRAIGHT,70.12782329409121,70.79857576223785,0.67,
RUN CURVE,70.79857576223785,71.09387546026531,0.3,R avg +1.46 max 3.43 deg/100ft
RUN STRAIGHT,71.09387546026531,71.3711172969366,0.28,
RUN CURVE,71.3711172969366,71.6389672506174,0.27,R avg +1.53 max 2.08 deg/100ft
RUN CURVE,71.7087536859949,71.87996323595739,0.17,R avg +1.67 max 2.23 deg/100ft
RUN STRAIGHT,71.87996323595739,73.04239389472076,1.16,
RUN CURVE,73.04239389472076,73.35895346239646,0.32,L avg -2.04 max 3.12 deg/100ft
RUN STRAIGHT,73.35895346239646,73.76334715550225,0.4,
RUN STRAIGHT,73.87839932361956,75.17670548489706,1.3,
RUN CURVE,75.17670548489706,75.63812162629554,0.46,L avg -2.03 max 2.84 deg/100ft
RUN STRAIGHT,75.63812162629554,76.91188917209749,1.27,
RUN STRAIGHT,76.96331758326065,77.14484444110835,0.18,
RUN CURVE,77.14484444110835,77.4983563435805,0.35,R avg +1.44 max 2.32 deg/100ft
RUN STRAIGHT,77.4983563435805,81.07629824589971,3.58,
MULTITRACK,78.79333208282623,82.92729878292118,4.133966700094959,6 tracks
RUN STRAIGHT,81.2940593053827,81.81307679754691,0.52,
RUN STRAIGHT,82.03071001145103,82.27522042796078,0.24,
RUN CURVE,82.44648627180628,83.17489045952648,0.73,R avg +1.83 max 5.06 deg/100ft
RUN STRAIGHT,83.17489045952648,83.41839871165004,0.24,
RUN CURVE,83.41839871165004,84.1189983947261,0.7,R avg +0.77 max 1.18 deg/100ft
MULTITRACK,83.41839871165004,83.82945783949985,0.4110591278498106,2 tracks
RUN STRAIGHT,84.1189983947261,84.44363306455186,0.32,
MULTITRACK,84.44363306455186,124.27906917409562,39.835436109543764,8 tracks
RUN STRAIGHT,84.63571762255124,85.03655478092807,0.4,
RUN CURVE,85.03655478092807,85.4192650071638,0.38,L avg -2.72 max 4.73 deg/100ft
RUN STRAIGHT,85.4192650071638,85.99720611034878,0.58,
RUN CURVE,85.99720611034878,86.60393989615766,0.61,L avg -1.72 max 4.04 deg/100ft
RUN STRAIGHT,86.7932071378117,88.0100628534294,1.22,
RUN CURVE,88.0100628534294,88.57429587452907,0.56,R avg +0.39 max 1.18 deg/100ft
RUN STRAIGHT,88.57429587452907,89.3601842287431,0.79,
RUN CURVE,89.74462265286105,90.79734521074812,1.05,L avg -2.18 max 4.30 deg/100ft
RUN STRAIGHT,90.79734521074812,91.18915017778673,0.39,
RUN CURVE,91.18915017778673,92.54267268354967,1.35,L avg -1.72 max 2.66 deg/100ft
YARD,92.32852219733078,92.77053080499131,0.44200860766052585,6 tracks
BRIDGE,92.54267268354967,92.6073179775744,0.06464529402472863,
RUN CURVE,92.6073179775744,92.9781599488774,0.37,L avg -2.14 max 3.95 deg/100ft
RUN STRAIGHT,92.9781599488774,93.3390024324956,0.36,
RUN STRAIGHT,93.42860477171217,94.06514355039438,0.64,
RUN STRAIGHT,94.35085409688863,94.67825019361365,0.33,
RUN CURVE,95.06730151144575,95.34071190391565,0.27,L avg -1.19 max 1.99 deg/100ft
RUN STRAIGHT,95.34071190391565,95.77245157402318,0.43,
RUN CURVE,95.77245157402318,95.9655708774707,0.19,L avg -0.61 max 0.61 deg/100ft
RUN STRAIGHT,95.9655708774707,96.25896334697481,0.29,
RUN STRAIGHT,96.31058793544524,96.57402398685046,0.26,
RUN STRAIGHT,96.6157938968912,96.7698925577714,0.15,
RUN CURVE,96.7698925577714,96.93598858584414,0.17,R avg +1.44 max 1.71 deg/100ft
STATION,97.10187772260116,97.10187772260116,0.0,Chilliwack
BRIDGE,97.4448395852077,97.85222318162114,0.4073835964134389,
RUN STRAIGHT,97.49766925185088,97.7947911875269,0.3,
RUN STRAIGHT,97.91557654337662,98.12616464398508,0.21,
RUN CURVE,98.12616464398508,98.29847487489353,0.17,R avg +1.86 max 2.44 deg/100ft
RUN STRAIGHT,98.4200874853163,98.9466409789515,0.53,
RUN STRAIGHT,99.07741833912426,100.62523792211417,1.55,
BRIDGE,99.07741833912426,99.13677837145693,0.05936003233266263,
RUN CURVE,100.62523792211417,100.93057155805023,0.31,R avg +1.75 max 2.14 deg/100ft
RUN STRAIGHT,100.93057155805023,101.49988749451093,0.57,
RUN CURVE,101.58700117540238,101.9688284135731,0.38,L avg -2.18 max 2.83 deg/100ft
RUN STRAIGHT,101.9688284135731,102.72310421508276,0.75,
RUN CURVE,102.72310421508276,103.40448366237017,0.68,L avg -0.06 max 3.34 deg/100ft
RUN STRAIGHT,103.40448366237017,103.78150513526872,0.38,
RUN CURVE,103.78150513526872,104.385770895636,0.6,L avg -0.15 max 2.59 deg/100ft
RUN CURVE,104.5187699463256,105.04590320329845,0.53,R avg +0.40 max 4.47 deg/100ft
RUN CURVE,105.19463586320614,105.44338469983464,0.25,L avg -2.31 max 4.44 deg/100ft
RUN CURVE,105.48294456412789,105.8675431375639,0.38,L avg -2.35 max 4.58 deg/100ft
RUN STRAIGHT,105.8675431375639,106.15451065726161,0.29,
RUN CURVE,106.2360508508064,106.83382270749743,0.6,R avg +2.47 max 3.74 deg/100ft
RUN STRAIGHT,106.83382270749743,109.32254276509421,2.49,
RUN CURVE,109.32254276509421,109.89018711127122,0.57,R avg +0.73 max 0.85 deg/100ft
RUN STRAIGHT,109.89018711127122,112.72252927621358,2.83,
RUN STRAIGHT,112.767480671435,113.83434722554722,1.07,
RUN CURVE,113.83434722554722,114.96446252864266,1.13,L avg -1.94 max 3.74 deg/100ft
RUN STRAIGHT,114.96446252864266,123.85420373617272,8.89,
RUN STRAIGHT,123.89736543000058,125.46002086427161,1.56,
RUN STRAIGHT,125.50428418643486,125.84974288692267,0.35,
RUN STRAIGHT,125.89638368054918,126.0816037995454,0.19,
RUN CURVE,126.53677461847639,126.69357385063716,0.16,R avg +0.28 max 1.16 deg/100ft
RUN CURVE,126.7299409847659,126.98918848222439,0.26,R avg +0.19 max 1.37 deg/100ft
RUN STRAIGHT,127.65564838420123,129.42387184775401,1.77,
RUN STRAIGHT,129.46694061312985,131.13651819453978,1.67,
BRIDGE,130.469827030572,130.5692498378828,0.0994228073108161,
RUN STRAIGHT,131.38809322116734,131.6545971652497,0.27,
RUN STRAIGHT,131.78068506776134,132.05185924579578,0.27,
RUN STRAIGHT,132.16326720302192,133.2566925483606,1.09,
RUN CURVE,133.2566925483606,133.5727030851549,0.32,R avg +0.38 max 0.51 deg/100ft
RUN STRAIGHT,133.5727030851549,133.8288739661167,0.26,
RUN STRAIGHT,133.87251915733958,137.63531129899619,3.76,
RUN STRAIGHT,137.77837503602726,138.06154398434433,0.28,
RUN STRAIGHT,138.17221032130007,139.6676900409401,1.5,
RUN CURVE,140.00719127246958,140.76183102059477,0.75,L avg -0.57 max 5.20 deg/100ft
RUN STRAIGHT,140.76183102059477,140.97134475542146,0.21,
RUN CURVE,140.97134475542146,141.15262072759006,0.18,R avg +0.31 max 1.03 deg/100ft
RUN STRAIGHT,141.15262072759006,141.74387313313952,0.59,
RUN CURVE,141.74387313313952,142.07908556866593,0.34,R avg +1.43 max 2.38 deg/100ft
RUN STRAIGHT,142.07908556866593,142.69809181226137,0.62,
RUN CURVE,142.69809181226137,144.84177290925862,2.14,L avg -1.01 max 6.34 deg/100ft
STATION,143.8710604313538,143.8710604313538,0.0,Hope
RUN STRAIGHT,144.84177290925862,145.0873462078915,0.25,
RUN CURVE,145.0873462078915,145.51483613033196,0.43,L avg -0.80 max 1.68 deg/100ft
RUN CURVE,145.54034879303993,145.82129919855626,0.28,R avg +3.48 max 6.67 deg/100ft
RUN CURVE,145.87635135814972,147.12576648875847,1.25,L avg -1.68 max 10.50 deg/100ft
RUN CURVE,147.22754596177873,147.9176332614981,0.69,R avg +0.91 max 2.03 deg/100ft
RUN CURVE,147.93571069753,148.22728496700432,0.29,L avg -0.18 max 0.54 deg/100ft
BRIDGE,148.1591349545954,148.22728496700432,0.06815001240892116,
RUN STRAIGHT,148.22728496700432,148.44554976554443,0.22,
RUN CURVE,148.44554976554443,148.95660431588206,0.51,R avg +1.86 max 3.15 deg/100ft
RUN STRAIGHT,148.95660431588206,150.6425030469669,1.69,
RUN STRAIGHT,150.6856299748025,151.30401868624227,0.62,
RUN STRAIGHT,151.4182197082457,152.79563461781595,1.38,
RUN CURVE,152.79563461781595,153.13180954957676,0.34,L avg -0.38 max 1.29 deg/100ft
RUN CURVE,153.16226619674092,153.46109201665433,0.3,L avg -0.26 max 0.31 deg/100ft
RUN STRAIGHT,153.46109201665433,154.3628142254417,0.9,
RUN CURVE,154.3628142254417,154.7251978720456,0.36,L avg -0.87 max 1.18 deg/100ft
RUN STRAIGHT,154.7251978720456,156.06208298038905,1.34,
RUN CURVE,156.06208298038905,156.83063592545716,0.77,R avg +0.72 max 4.36 deg/100ft
RUN CURVE,156.92035696365429,157.30752948819662,0.39,L avg -2.61 max 4.80 deg/100ft
BRIDGE,157.0461231352689,157.1110054402733,0.06488230500437453,
RUN STRAIGHT,157.30752948819662,157.52359650696454,0.22,
RUN CURVE,157.52359650696454,158.47993271130983,0.96,L avg -0.22 max 3.29 deg/100ft
RUN STRAIGHT,158.47993271130983,159.20441260225292,0.72,
RUN CURVE,159.32586941111884,160.33932847582696,1.01,L avg -0.34 max 2.30 deg/100ft
RUN STRAIGHT,160.33932847582696,160.5425468871367,0.2,
RUN CURVE,160.9197446137221,161.5880697434145,0.67,R avg +1.46 max 3.89 deg/100ft
RUN STRAIGHT,161.5880697434145,161.96597999355052,0.38,
BRIDGE,161.77627170701712,161.8491570439362,0.07288533691908583,
RUN CURVE,161.96597999355052,162.18433661401093,0.22,L avg -0.05 max 2.69 deg/100ft
RUN STRAIGHT,162.18433661401093,162.33457012712395,0.15,
RUN CURVE,162.33457012712395,162.75044391884012,0.42,R avg +2.98 max 6.26 deg/100ft
RUN STRAIGHT,162.75044391884012,162.94157822107246,0.19,
RUN CURVE,163.00052198835604,163.46259419725104,0.46,R avg +1.27 max 3.02 deg/100ft
RUN STRAIGHT,163.46259419725104,163.62758741174804,0.16,
RUN CURVE,163.78951468730529,164.09912456649226,0.31,R avg +2.21 max 4.91 deg/100ft
RUN STRAIGHT,164.09912456649226,164.69136666778707,0.59,
MULTITRACK,164.31433670945387,164.63214292781652,0.317806218362648,3 tracks
BRIDGE,164.40016115193765,164.52693931419492,0.126778162257267,
RUN CURVE,164.77596906622492,165.01511768854925,0.24,L avg -1.73 max 3.33 deg/100ft
RUN CURVE,165.15569695302915,165.34691302853588,0.19,L avg -0.62 max 0.88 deg/100ft
MULTITRACK,165.29006370641835,165.9300332835732,0.6399695771548579,3 tracks
TUNNEL,165.29006370641835,165.9300332835732,0.6399695771548579,
RUN CURVE,165.3878511139386,165.89028237789518,0.5,R avg +0.39 max 5.84 deg/100ft
RUN CURVE,165.9300332835732,166.31502998944944,0.38,L avg -2.86 max 4.29 deg/100ft
RUN STRAIGHT,166.31502998944944,166.61697098219588,0.3,
RUN CURVE,166.61697098219588,166.84533024351995,0.23,L avg -1.36 max 2.16 deg/100ft
RUN STRAIGHT,166.84533024351995,167.2743032581592,0.43,
RUN CURVE,167.41206647296596,167.74543250332002,0.33,R avg +0.55 max 3.20 deg/100ft
RUN CURVE,167.7833476090697,167.98930815946227,0.21,L avg -0.25 max 14.06 deg/100ft
RUN STRAIGHT,168.12729105555502,168.30202183199987,0.17,
RUN CURVE,168.46193008507228,168.7129245656938,0.25,R avg +0.41 max 1.14 deg/100ft
RUN STRAIGHT,168.7129245656938,169.15632928459408,0.44,
RUN STRAIGHT,169.65681383546882,169.90625795046748,0.25,
RUN STRAIGHT,170.04322740832202,170.41650958232327,0.37,
RUN CURVE,170.6281492217474,171.22295243471393,0.59,R avg +1.29 max 2.26 deg/100ft
RUN STRAIGHT,171.22295243471393,171.44039863485096,0.22,
RUN CURVE,171.44039863485096,171.9088000649458,0.47,R avg +1.34 max 4.25 deg/100ft
RUN CURVE,171.99300505234106,173.24188875281033,1.25,R avg +0.28 max 11.43 deg/100ft
RUN STRAIGHT,173.32743736248227,173.70176462883958,0.37,
RUN STRAIGHT,173.81958597569906,174.17175765536606,0.35,
RUN STRAIGHT,174.31271913446398,174.5228802219084,0.21,
RUN STRAIGHT,174.58996182546784,174.82898576890162,0.24,
RUN STRAIGHT,175.20353750620666,175.97506472530458,0.77,
RUN CURVE,175.97506472530458,176.7762983793529,0.8,R avg +2.94 max 8.86 deg/100ft
RUN STRAIGHT,176.7762983793529,176.94132515904138,0.17,
RUN CURVE,176.94132515904138,178.72040777799478,1.78,L avg -1.25 max 8.97 deg/100ft
RUN STRAIGHT,179.15360798671594,179.69946363015194,0.55,
MULTITRACK,179.57316288934408,179.91730087681393,0.3441379874698498,3 tracks
BRIDGE,179.64215210145002,179.77340393633858,0.13125183488855896,
RUN STRAIGHT,179.84043621981996,180.1364837996085,0.3,
RUN STRAIGHT,180.19360826417332,180.34741282042836,0.15,
RUN STRAIGHT,180.43507790267574,180.72741923591147,0.29,
RUN CURVE,180.72741923591147,181.21034378117565,0.48,R avg +1.16 max 5.08 deg/100ft
MULTITRACK,180.9547651260617,183.51784280228134,2.563077676219649,4 tracks
RUN CURVE,181.24966822081063,182.0727632168625,0.82,L avg -0.06 max 1.34 deg/100ft
RUN STRAIGHT,182.0727632168625,182.88681360021977,0.81,
RUN STRAIGHT,182.9309940553911,183.20379050424341,0.27,
RUN CURVE,183.20379050424341,184.59988497980657,1.4,L avg -0.82 max 13.99 deg/100ft
RUN CURVE,184.62716001052692,187.1009921335283,2.47,L avg -0.51 max 7.37 deg/100ft
MULTITRACK,186.51707606243212,187.1009921335283,0.5839160710961835,2 tracks
TUNNEL,186.51707606243212,186.9674392923241,0.45036322989196265,
RUN CURVE,187.30849869816976,187.64801565402138,0.34,R avg +0.58 max 2.99 deg/100ft
RUN CURVE,187.94857709056464,188.8240207594551,0.88,R avg +1.90 max 4.62 deg/100ft
RUN CURVE,188.86297982638678,189.75102595928982,0.89,L avg -2.33 max 9.86 deg/100ft
RUN CURVE,189.8843647598252,190.1618428772041,0.28,L avg -0.15 max 5.78 deg/100ft
MULTITRACK,190.10083855403298,190.556250633688,0.4554120796550194,3 tracks
TUNNEL,190.1618428772041,190.47303497545633,0.3111920982522349,
RUN CURVE,190.18344126407817,190.4414521220991,0.26,L avg -3.18 max 6.16 deg/100ft
RUN CURVE,190.71499775403245,191.50530677937837,0.79,L avg -0.64 max 7.03 deg/100ft
MULTITRACK,190.82929426512484,192.03850622163569,1.209211956510842,4 tracks
BRIDGE,191.50530677937837,191.7550212030045,0.2497144236261306,
RUN CURVE,191.5279672963257,191.91092446391264,0.38,R avg +0.43 max 1.43 deg/100ft
RUN CURVE,192.21063465210418,192.42503514278135,0.21,L avg -1.22 max 3.03 deg/100ft
MULTITRACK,192.37267561440382,193.08460966605426,0.7119340516504451,4 tracks
BRIDGE,192.42503514278135,192.57507565186754,0.15004050908618183,
TUNNEL,192.64857585662423,193.00808646642574,0.35951060980150373,
RUN CURVE,192.68822196212253,192.9532987979888,0.27,R avg +0.88 max 0.89 deg/100ft
RUN CURVE,193.08460966605426,193.3195154823584,0.23,R avg +1.53 max 5.74 deg/100ft
RUN STRAIGHT,193.3195154823584,193.49646417553095,0.18,
RUN CURVE,193.49646417553095,194.01488221291746,0.52,L avg -2.11 max 4.26 deg/100ft
MULTITRACK,193.9216099538671,194.40805434850685,0.4864443946397614,4 tracks
RUN CURVE,194.40805434850685,194.74592325705072,0.34,R avg +0.65 max 2.32 deg/100ft
RUN CURVE,194.95551942936353,195.10773211760505,0.15,L avg -0.74 max 0.98 deg/100ft
