type,km0,km1,len_km,detail
RUN STRAIGHT,0.0,0.3650718360507626,0.37,
MULTITRACK,0.0,0.47404783823255614,0.47404783823255614,6 tracks
RUN STRAIGHT,0.47404783823255614,0.8860174039909086,0.41,
RUN CURVE,0.8860174039909086,1.2088368682999218,0.32,L avg -0.20 max 0.58 deg/100ft
RUN STRAIGHT,1.2088368682999218,1.5613543953687485,0.35,
RUN STRAIGHT,1.696614307638186,2.040176983885619,0.34,
MULTITRACK,2.040176983885619,2.6068578327973126,0.5666808489116937,3 tracks
RUN STRAIGHT,2.087230981488835,3.048123681928068,0.96,
STATION,2.2295959318074527,2.2295959318074527,0.0,Vancouver (Rocky Mountaineer term.)
RUN STRAIGHT,3.1011282152356134,4.502052752407088,1.4,
RUN STRAIGHT,4.547372599025318,4.839221988579669,0.29,
RUN STRAIGHT,4.891056872858989,5.26382024013536,0.37,
RUN STRAIGHT,5.411542854341206,5.722484227151693,0.31,
RUN STRAIGHT,5.766985198452579,6.695251395789882,0.93,
RUN STRAIGHT,6.743491309101112,6.935455615633289,0.19,
RUN CURVE,7.2413221263162555,7.500258619936035,0.26,R avg +2.17 max 2.94 deg/100ft
RUN STRAIGHT,7.500258619936035,7.672874377094572,0.17,
RUN CURVE,7.672874377094572,7.945329599115099,0.27,R avg +0.74 max 2.32 deg/100ft
MULTITRACK,7.838752251266813,14.826703020758794,6.987950769491981,5 tracks
RUN CURVE,8.414801132677033,8.604660917189891,0.19,R avg +0.24 max 0.24 deg/100ft
RUN STRAIGHT,8.604660917189891,8.777109003839737,0.17,
RUN CURVE,8.777109003839737,8.932223278000913,0.16,L avg -1.29 max 1.99 deg/100ft
RUN CURVE,9.036105072207532,9.214520927166461,0.18,L avg -4.09 max 4.66 deg/100ft
RUN CURVE,9.2923503122369,9.467015790567546,0.17,R avg +0.64 max 1.70 deg/100ft
RUN CURVE,9.523096607248279,9.888971541494607,0.37,R avg +0.24 max 0.58 deg/100ft
RUN CURVE,10.146501264435331,10.558852852544556,0.41,R avg +3.34 max 6.32 deg/100ft
RUN CURVE,10.724459291592607,11.12169265414109,0.4,L avg -0.21 max 1.27 deg/100ft
RUN CURVE,11.226042513744275,11.566670826927176,0.34,L avg -1.40 max 2.64 deg/100ft
RUN STRAIGHT,12.118760528239866,12.27675245301576,0.16,
RUN STRAIGHT,12.40125560477697,13.1204219897897,0.72,
RUN CURVE,13.393389484551209,13.76476340150493,0.37,L avg -0.31 max 0.31 deg/100ft
RUN STRAIGHT,13.76476340150493,14.296591063366183,0.53,
RUN CURVE,14.296591063366183,14.645862660312586,0.35,R avg +2.80 max 5.20 deg/100ft
RUN STRAIGHT,14.645862660312586,15.275213187466505,0.63,
MULTITRACK,15.035100271610117,24.236737600005537,9.20163732839542,6 tracks
RUN STRAIGHT,15.372506443591826,15.631061628445154,0.26,
RUN CURVE,15.631061628445154,15.798118308153242,0.17,R avg +0.21 max 0.62 deg/100ft
RUN STRAIGHT,15.798118308153242,15.990569999786366,0.19,
RUN CURVE,15.990569999786366,16.153441653049786,0.16,R avg +0.44 max 1.17 deg/100ft
RUN STRAIGHT,16.274825404199184,16.55240466685428,0.28,
RUN CURVE,16.639379669587417,16.877652633688133,0.24,L avg -2.22 max 3.91 deg/100ft
RUN STRAIGHT,17.353248506534186,17.72253461380173,0.37,
RUN STRAIGHT,17.93167575895186,18.08206018024206,0.15,
RUN STRAIGHT,18.335522415053177,19.281422640764063,0.95,
RUN STRAIGHT,19.37227869862218,19.73236626314931,0.36,
RUN STRAIGHT,19.78587622072044,19.94320792021808,0.16,
RUN STRAIGHT,20.02417053836797,20.647352594434707,0.62,
RUN STRAIGHT,20.7094430667059,21.14763658720197,0.44,
RUN STRAIGHT,21.193360759616944,21.557652620287133,0.36,
RUN STRAIGHT,21.772760897543,22.487688175683584,0.71,
RUN STRAIGHT,22.547986054751764,22.735702126803435,0.19,
RUN STRAIGHT,22.88330613691988,23.044457258810034,0.16,
RUN CURVE,23.226086861181795,23.71547092140019,0.49,L avg -0.49 max 0.87 deg/100ft
